name,salary,city,experience,degree,desc,namwork_addr
python,10k-15k,广州,经验3-5年,本科及以上,"职位描述：python后台1.有较好的Python编程基础，2.具有Django框架开发经验,3.有一定的数据结构基础4.熟练使用git进行代码管理及团队协作开发5.熟悉python多线程6.熟悉掌握javascript,css3,html5熟练使用前端自动化构建工具，熟悉webpack,对前端工程化和模块化开发有一定的了解7.熟悉vue框架，有vue项目经验。8.了解HTTP协议，了解TCP/IP的基本工作原理了解前端开发安全知识，能对页面做基本的性能优化9.熟悉Java基础，对多线程，事物等有深入理解。10.熟练使用SpringBoot、熟悉redis、熟悉Mysql。",广州-天河区-车陂-东圃时代TIT广场2栋402查看地图
Python后端开发实习,2k-3k,广州,经验不限,本科及以上,职位描述：任职要求：1.本科及以上学历；2.不错的英文读写功力，阅读python相关技术文档，热爱Python，对自己的代码风格要求严格，有技术热情，执行力强。3.熟练使用Python语言，对操作系统和Linux内核有了解；4.学习成绩优秀，学习能力强，适应能力好；岗位职责：1.负责Python小项目及局部模块的任务开发；2.按主管要求负责项目设计，并进行编码；3.根据开发规范与流程独立完成编码，测试及相关文档。,广州-番禺区-洛溪-迎宾大道五洲商务中心C座6006查看地图
编程猫少儿编程教师（Python...,8k-12k,广州,经验不限,本科及以上,职位描述：岗位职责：1.在线上针对12岁以上的青少年进行Python教学，能够使用通俗易懂亲和有趣的语言为学员讲解；2.做好备课、授课，熟课、课中记录、课后总结等一系列提供高教学质量的教学工作；3.撰写学生培养方案、发起知识共享讲座，与同事共同进步；4.为丰富课程内容制作相关课件资源；5.积极协助教研、技术等部门不断优化和完善产品质量和体验。任职要求：1.通过任职测评；2.对编程猫公司有一定了解且认可教学模式与理念；3.认同少儿编程理念，愿意在编程教育行业长期发展；4.普通话标准、表达能力强、词藻丰富，有耐心，抗压能力强。5.本科以上学历，学过Python编程语言，计算机类专业优先。,广州-天河区-天河城-体育西路103号维多利广场B座10楼1001查看地图
python开发工程师,15k-30k,广州,经验不限,本科及以上,职位描述：工作经验：优先考虑拥有2年以上在电子工业的Linux与Python环境中从事基于后端的软件开发经验，例如数据通信或电信行业。具有后端软件开发经验的优秀应届毕业生也将被纳入考虑范围。・拥有扎实的Python知识，尤其是Python3与LinuxBash・熟练使用DjangoORM，Tornado，WebSocket，JSON，与RESTAPI・熟悉Docker・了解网络技术，例如TCP/IP协议栈・对于数据通信的经验・渴望学习新技术・能够独立工作以及在团队环境中工作・具有技术英语的水平（书面与口语）个性：・积极主动・充满激情和奉献精神・有分析头脑、做事有条理、目标导向・团队合作者――愿意团队合作・善于沟通与聆听・乐于贡献，善于提出想法・愿意学习并向他人提供知识――善于挑战和提问・灵活――能够快速行动・幽默风趣,广州-天河区-珠江新城-珠江新城马场路富力公园28查看地图
python开发,10k-20k,广州,经验1-3年,本科及以上,职位描述：岗位职责：1.负责公司业务系统的后端开发；2.跟进产品需求参与需求分析，进行相关的设计、开发、调试、测试等；3.能独立完成业务模块的开发。任职要求：1、1-3年python后端开发经验，掌握flask等web开发框架；2、熟悉网络编程（TCP/HTTP协议），并具备MQ(kafka等)、高并发实战经验；3、了解gitflow开发流程，熟悉CI/CD部署；4、熟悉MySQL数据库，具备MySQL、mongodb、redis等开发和调优经验；5、掌握Linux系统，会shell编程；6、良好的编码风格，至少熟悉其它一种语言(C++、Java、go)。,广州-天河区-东圃-州市东圃镇时代TIT广场2栋701室查看地图
Python工程师,10k-20k,广州,经验3-5年,本科及以上,职位描述：加入理由：我们是一个有抱负，有情怀的技术团队。我们崇尚硅谷和谷歌的工程师文化，信奉技术改变世界的力量。我们从来没有作过市场投放，因为我们相信技术、效率带来的价值最终会让市场认可。我们一直致力于运用最新的技术，为人们带来更美好的生活。我们主要的技术栈包括：PHP7、MongoDB、ElasticSearch、Symfony、GoLang、VUE、React（Native）、Bootstrap、Ubuntu等。我们还致力研究：大数据处理、人工智能推荐、图像搜索、自动翻译、微服务架构。我们的研发中心成员经过严格筛选，只为缔造一个志同道合，合作无间的团队。如果你觉得渴望在团队里面一起做点事情，那加入我们，试着一起创造出伟大的产品。职责范围：负责公司的数据分析系统、爬虫系统、自动化系统（手机中控系统）的开发与运维。使用各种监控工具及设计系统与架构，保障各系统的高可用性及数据的安全性。按照运营的需求设计并组织实施编码，满足公司业务工具化、自动化、平台化的目标。任职要求：靠谱，非常靠谱，首先必须是一个靠谱的工程师，能对自己写的代码及软件负责。学历：统招本科以上学历，计算机相关专业优先；能熟练阅读英文文档，及时了解国外先进技术；硬技能：精通以下技术并具备丰富经验（多项可选）：-PHP/Golang/Python语言编程及软件工程能力；不拘泥于具体语言，具备不同场景灵活切换运用不同的最佳实践方案的能力；-Linux系统管理、Nginx/HaProxy/Apache/Tomcat配置、脚本语言BashShell编写、Docker容器管理；-MongoDB/MySQL/PostgreSQL/ElasticSearch/Redis/Kafka/Spark等数据库技术及集群。可选加分项或经验：-手机端开发（Android、IOS）、前端开发；-大数据或人工智能的开发或应用经验；-系统运维、监控报警技术、自动构建及部署系统，如Cacti/Zabbix/Nagios/flannel/ansible/glusterfs/ESXi/WAF/Zabbix/Puppet/calico等。其它软能力：沟通能力、自我驱动能力、快速学习能力。特别提示：到西洋汇招聘官网job.xiyanghui.com投递简历，应聘成功率提升90%！！！顺便，关注“西洋汇招聘”公众号，你也需要更全面地了解一下你的未来雇主。,广州-海珠区-广州大道南1601号洋湾电子商务时尚岛B区二楼西侧1-3号查看地图
python开发,8k-15k,广州,经验1-3年,大专及以上,职位描述：岗位要求：1.计算机相关专业，本科及以上学历，1年以上相关工作经验；2.熟悉Python，熟练使用主流web框架，并具备良好的编程风格，以及能够撰写良好的技术文档；3.深入理解和使用RESTful；4.熟悉消息组件，如：Kafka、RabbitMQ等；5.熟悉NoSQL数据库，如：Mongodb、Redis等的使用。岗位职责：1.良好的团队协助意识；2.跟进产品需求参与需求分析；3.能独立完成业务模块的开发。,广州-天河区-珠江新城-广州市天河区冼村路11号之二保利威座北塔18楼查看地图
python开发工程师,8k-16k,广州,经验3-5年,本科及以上,"职位描述：职位诱惑：大数据,扁平管理,弹性工作,互联网金融岗位职责1.分析需求根据需求规格完成对应的功能；2.负责服务器端后台设计、功能开发及维护；3.具有较强的性能优化意识，并发挥积极作用;4.编写、整理软件开发文档；5.具备较强复用、工具化思维，主动在工作中抽象并实现可复用代码；6.参与大数据平台搭建、研发、运维和调优工作；7.参与爬虫分布式架构搭建、研发和运维工作，参与部分爬虫业务功能开发；8.公司领导交付其他技术相关工作。任职要求：1.本科及以上学历，计算机相关专业；2.三年Python开发经验；3.熟悉MVC架构，熟练掌握Pythonweb、Javaweb开发框架，熟悉Flask、django、bottle、nameko或者其他开发框架者优先；4.具备数据库设计能力，精通掌握postgresql、Redis、MongoDB、MySql者优先；5.具备Linux环境、数据库,postgresql、Redis、MongoDB、MySQL等后端开发基础，有RESTful服务构架和应用经验优先；6.熟悉Linux操作系统，熟悉Apache/Ngnix等WebServer的部署和应用者优先；7.熟悉kafka等中间件，docker等容器化使用部署技术者优先；8.有大型网络服务开发，在高并发，高稳定性方面有经验者优先；9.具备良好的编码习惯及开发文档书写习惯；10.具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力；",广州-黄埔区-科学大道48号E栋1507号查看地图
python开发工程师,8k-16k,广州,经验1-3年,本科及以上,职位描述：岗位职责：1、主要参与“短书“项目的服务端开发；2、根据产品的需求提供符合项目或产品的解决方案；3、参与平台日常开发，包括但不限于程序设计审查、代码审查等工作；4、编写程序设计、API等相关技术文档。岗位要求：1、本科学历，2年Python相关工作经验，熟练使用Python语言;2、熟悉Linux常用命令或有Mac下的开发经验，能在常见Linux服务器（CentOS/Ubuntu）上简单排查问题；3、熟练使用MySQL/Postgres，了解NoSQL；4、熟悉Nginx/Apache等Web服务器的配置；5、有良好的需求分析、设计能力、规范的编程风格和良好文档习惯；6、至少精通一种Python框架（Django/Tornado）。,广州-番禺区-洛溪-迎宾大道五洲商务中心C座6006查看地图
Python开发工程师,15k-25k,广州,经验3-5年,本科及以上,职位描述：职位职责：1.主要工作，维护和改进公司自动化交易框架。2.金融数据查询接口和SDK的开发。3.一小部分自动化测试和自动化发布的开发维护工作。任职要求：1.计算机或相关专业，全日制本科以上学历，有一定的计算机基础。2.4年以上软件开发经验，不少于2年的python开发经验。非硬性指标：1.熟悉金融数据处理者优先。2.有金融交易或投资经验者优先。3.有python后端开发经验者优先。4.从事过SDK或者webapi设计开发者优先。补充：1.这边有相对规范的软件团队开发流程管理，还可以接触到自动化构建、自动化测试和发布方面的知识。2.还可以接触学习到docker、容器集群管理、金融数据处理、运维架构方面的知识。2.扁平化管理，团队气氛融洽。,广州-海珠区-广州海珠区广州创投小镇自编B区第三层315-316查看地图
python开发工程师,10k-18k,广州,经验3-5年,本科及以上,"职位描述：岗位职责：1.参与手游运营平台的开发与维护；2.参与手游接入聚合sdk的登录及支付，以及对应后台的架构设计、开发和维护；3.参与聚合sdk接入第三方渠道sdk登录和支付；4.参与公司投放平台的开发，维护。职位要求：1.本科及以上学历，精通python开发，熟练掌握Django开发框架，3年以上相关工作经验；2.熟练掌握常用数据结构及算法；3.有java工作经验者优先；4.精通HTML、XML、CSS、AJAX、Jquery、Json、Javascript等前端技术；5.精通Mysql数据库，能独立完成各种复杂的查询；6.熟悉Linux开发环境，熟练使用shell；7.了解Tomcat,Nginx,memcache,redis,maven；8.有良好的面向对象设计能力，了解设计模式；9.了解手游运营平台系统架构以及手游对接平台的流程；10.熟悉第三方登录和支付SDK接入，有游戏集成SDK打包经验，如quicksdk、易接、u8sdk等；11.对分布式以及服务化编程有实战经验者优先。",广州-天河区-石牌-岗顶龙口东路129号龙泽商业大厦19楼查看地图
python,11k-18k,广州,经验1-3年,大专及以上,职位描述：职责：1、参与BI数据产品的相关开发、设计；2、参与分布式高并发API服务开发，基于数据产品直接服务业务功能，如推荐系统、用户画像等；职位要求：1、计算机相关专业，有2年及以上互联网工作经验；2、熟悉Python/Java语言，了解Django、Flask框架，有Superset二次开发经验更佳；3、熟练使用MySQL/MongoDB/Redis，熟悉常见数据可视化前端技术，如ECharts、D3等；4、参与过大规模数据服务API的开发，有HBase、Spark、ElasticSearch等相关经验更佳；5、逻辑清晰、对数据敏感，有良好的沟通协作能力。,广州-番禺区-亚运大道26号和业投资大厦3A层查看地图
python开发工程师,20k-40k,广州,经验不限,本科及以上,"职位描述：职位职责：1、负责公司客服智能化项目的设计和开发维护；2、负责业务需求分析，将业务需求拆分成独立的业务功能，并负责相关的开发等工作；3、负责部分核心技术问题的攻关，架构设计，系统优化，协助解决项目开发过程中的技术难题。要求:1、3年以上Python经验，熟悉Django,Tornado,Flask框架中的至少一种，熟悉Web后端架构；2、熟悉Linux平台环境的开发，掌握Linux常用命令；3、熟悉python网络编程，能够设计和维护基于TCP/IP协议的高性能事件驱动框架程序；4、熟悉mysql、mongodb、redis等数据库使用。5、拥有强烈的求知欲，优秀的学习和沟通能力。6、有机器学习实际操作经验、参加过相关竞赛者优先。7、对数据分析有兴趣者优先。",广州-天河区-林和-海航大厦B栋查看地图
中高级python开发工程师,15k-30k,广州,经验3-5年,本科及以上,职位描述：岗位职责：1.参与相关业务线的后端研发工作；2.负责业务需求分析，将业务需求拆分成独立的业务功能，设计技术方案，输出相关文档，并负责相关的开发等工作；3.完善公共代码库，持续推进业界***实践在项目中的应用；4.配合项目的整体计划和安排，对业务人员进行技术指导任职资格：python中高级，架构方向，4年以上1.4年及以上服务端开发经验，熟练掌握python，另外熟悉c++/go优先；2.具备扎实的计算机基础知识，有良好的代码风格，熟练掌握常用的设计模式和数据结构；3.熟悉Linux，熟悉Mysql/Redis等存储系统，熟悉相关调试工具，能够快速定位解决问题；4.对Web服务架构有较深刻的理解，能够根据实际场景合理应用常用的分布式技术；5.有良好的沟通协调能力和团队合作精神；6.善于管理优先级，能够运用常用的软件工程方法管理开发流程，了解CI/CD。,广州-天河区-东圃-州市东圃镇时代TIT广场2栋701室查看地图
Python工程师（英语）,10k-20k,广州,经验1-3年,本科及以上,职位描述：岗位职责：1、负责研发旅游B2B的后端业务平台，分析实现各种业务或基础组件。项目背景：商业生态以及网站产品由一位在中国做生意26年的一位希腊商业家设计的。网站技术是有一位有着博士学位的希腊CTO领导实现的。另外还有两名中国的Python后端研发同事，均具有成功主导高质量后端项目的研发经历。任职要求：1、本科以上学历，计算机及相关专业优先；英语四级以上，有提升英语能力的意愿。需要和外籍人士日常沟通-口语或书面（初期有翻译协助）2、1-3年相关互联网项目开发工经验；3、熟悉Python语言、Django框架；熟悉Ptyhonweb业务研发全流程。4、加分项：熟悉自动化运维、自动化测试、微服务架构、云服务5、加分项：有主导的项目项目创造高价值的经历、有高质量的开源仓库、公开发表高质量技术文章的经历。6、逻辑性好，理解能力强，沟通能力强；能客观分析问题，积极主动寻求解决方案。亮点：0-1项目搭建；项目有前景；团队氛围好；技术发展空间大；中外合资；英文环境；团队优秀,广州-天河区-高唐路238-1号御银科技园I栋驴迹科技大厦查看地图
Python开发工程师,6k-12k,广州,经验1-3年,大专及以上,"职位描述：岗位职责：1、参与产品需求的讨论，编写相应的设计文档。2、独立完成模块的开发工作，并保质代码的质量。3、对生产系统产生的需求和问题快速响应。任职要求：1.1年上服务端研发经验，至少1年Python程序开发经验，熟悉至少两种或以上服务端编程语言，熟练使用Python。2.有团队管理经验者优先考虑。3.熟悉Django、Flask、Tornado等主流web开发框架，有丰富的WebSocket编程经验。4.熟悉MySQL、PostgreSQL等主流开源关系数据库及Redis、activemq等常见缓存及消息队列中间件。5.对网络编程有深刻的理解，有高并发编程经验，熟练使用asyncio,gevent。6.了解现代前端研发生态，在前后端协作中能起协调指导作用。【美亚提供】1、薪酬：综合薪资6-12k（基本工资+岗位工资+绩效工资等），年终双薪；2、专业培训：多元化的培训课程，为每位新入职员工提供系统的技能培训、职业培训、户外拓展；3、福利待遇：五险一金/绩效奖金/全勤奖/年终奖/员工体检/企业文化活动/拓展培训/优秀团队活动经费/大型年会/员工旅游/节日礼物/下午茶等；4、假期：带薪年假（5-10天）、国家法定节假日、婚假、产假、丧假等。",广州-天河区-天平架-广州大道北520号中创盈科大厦查看地图
